Institución Padre,Dirección,Comuna,Región,Coordenadas Geográficas,Rubro de gasto,Periodo,Gasto
CENTRO REFERENCIAL DE SALUD DR SALVADOR ALLENDE GOSSENS,Teniente Cruz 800 - PUDAHUEL,Pudahuel,Región Metropolitana de Santiago,"-33.44534655,-70.74119011102081",REQ 110 PAPEL FOTOCOPIA FEBRERO-MARZO,Febrero/2024,1949280
CORP ADMINISTRATIVA DEL PODER JUDICIAL,Calle Carrera N° 450,,,"39.2777491,-1.395879",Compra Papel Fotocopia CAPJ Punta Arenas 2183-2-CM24,Enero/2024,4150720
I MUNICIPALIDAD DE CALAMA,VICUÑA MACKENNA 2001,Calama,Región de Antofagasta ,"-22.4634382,-68.92573347389403",COMPRA RESMAS PAPEL MULTIUSO M-28/2024 (Orden de Compra: 2385-40-CM24),Enero/2024,16398200
I MUNICIPALIDAD DE CALERA DE TANGO,Av. Calera de Tango 345,Calera De Tango,Región Metropolitana de Santiago,"-33.6306199,-70.76159311969573","COMPRA DE PAPEL RESMA TAMAÑO OFICIO,Orden de Compra: 3658-8-CM24",Enero/2024,1713064
I MUNICIPALIDAD DE CANETE,ARTURO PRAT 220 ,Cañete,Región del Biobío ,"-37.79972,-73.3991188",CONVENIO SUMINISTRO SERVS. IMPRESIÓN Y PAPELERÍA/ORDEN DE COMPRA DESDE 4020-1-LE24,Enero/2024,41391
I MUNICIPALIDAD DE CANETE,ARTURO PRAT 220 ,Cañete,Región del Biobío ,"-37.79972,-73.3991188",CONVENIO SUMINISTRO SERVS. IMPRESIÓN Y PAPELERÍA/ORDEN DE COMPRA DESDE 4020-1-LE24,Enero/2024,7677285
I MUNICIPALIDAD DE COBQUECURA,CHACABUCO 315,Cobquecura,Región del Ñuble,"-36.1316875,-72.7925312",RESMAS DE PAPEL ESTABLECIMIENTOS EDUCACIONALES,Enero/2024,3382158
I MUNICIPALIDAD DE CURICO,Estado  279,,,"-34.98554105,-71.23854218545901","Adquisición de resmas papel fotocopia Carta y Oficio, necesario para Stock Bodega",Enero/2024,5564440
I MUNICIPALIDAD DE CURICO,,Curicó,Región del Maule ,"-34.98554105,-71.23854218545901",80577 RESMAS DE PAPEL LICEO ZAPALLAR DE CURICÓ  por invitación a compra ágil: 2440-63-COT24,Enero/2024,1692418
I MUNICIPALIDAD DE CURICO,,Curicó,Región del Maule ,"-34.98554105,-71.23854218545901",80528 RESMAS DE PAPEL ESCUELA LA OBRA DE CURICÓ  por invitación a compra ágil: 2440-33-COT24,Enero/2024,604520
I MUNICIPALIDAD DE LINARES,,Linares,Región del Maule ,"-35.5953791,-71.73159",COMPRA DE RESMAS DE PAPEL CARTA Y OFICIO PARA ESC. F-482 GRACIELA LETELIER ,Enero/2024,1523438
I MUNICIPALIDAD DE LLANQUIHUE,,Llanquihue,Región de los Lagos ,"-41.2565319,-73.0056137","ADQUISICIÓN RESMAS DE PAPEL OFICIO, CARTA Y CARTON HILADO PARA OFICINA TIC DEL DEPTO. DE SALUD",Enero/2024,826812
I MUNICIPALIDAD DE LOS ANGELES,,Los Angeles,Región del Biobío ,"-37.47112635,-72.35064063866517", ADQ DE RESMAS DE PAPEL PARA STOCK BODEGA DAEM  ,Enero/2024,1511300
I MUNICIPALIDAD DE MAFIL,,Máfil,Región de Los Ríos,"-39.6646519,-72.95367349426073",Papel para impresion Escuela Alabama - compra ágil: 3631-21-COT24,Enero/2024,614040
I MUNICIPALIDAD DE NACIMIENTO,,Nacimiento,Región del Biobío ,"-37.5021632,-72.67436659653994",Papel tamaño oficio y carta,Enero/2024,174359
I MUNICIPALIDAD DE PADRE LAS CASAS,Ramberga 760 ,Padre Las Casas,Región de la Araucanía ,"-38.77338615,-72.59711090989668",ADQ. PAPEL DE IMPRESIÓN PARA EL DAEM (FDOS. SEP),Enero/2024,1612712
I MUNICIPALIDAD DE PALMILLA,,Palmilla,Región del Libertador General Bernardo O´Higgins,"-34.59772815,-71.36362340411176",ADQUISCION DE RESMAS PAPEL IMPRESION,Enero/2024,569058
I MUNICIPALIDAD DE PENCO,O'Higgins # 500,Penco,Región del Biobío ,"-36.739382250000006,-72.99285203159288",PAPEL FOTOCOPIA CARTA Y OFICIO (P.09)Orden de Compra: 4494-5-CM24,Enero/2024,2724624
I MUNICIPALIDAD DE PUERTO VARAS,"Del Salvador 320, Cuarto piso, Puerto Varas",Puerto Varas,Región de los Lagos ,"-41.3173803,-72.9845667",COMPRA RESMAS PAPEL Y TECLADOS DISAM PTO VARAS,Enero/2024,1013832
I MUNICIPALIDAD DE QUINCHAO,,Quinchao,Región de los Lagos ,"-42.4711142,-73.4885537",RESMAS PAPEL STOCK OFICINAS MUNICIPALIDAD,Enero/2024,694960
I MUNICIPALIDAD DE SAAVEDRA,18 de Septiembre # 554,Puerto Saavedra,Región de la Araucanía ,"-38.7923313,-73.3959172783686",Papel de impresión. Bodega General,Enero/2024,2003960
